Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-121.42,957.5098,58.41,100.0,34.4
2,-137.41,1145.8039,58.27,100.0,34.4
3,-127.14,1014.2578,57.39,100.0,34.4
4,-142.71,1184.7357,61.35,100.0,34.4
5,-110.76,823.53,57.9,100.0,34.6
6,-119.96,910.514,59.24,100.0,34.6
7,-131.89,1021.6447,60.52,100.0,34.7
8,-109.56,716.4088,58.24,100.0,34.7
9,-120.33,875.0977,58.35,100.0,34.7
10,-145.56,1184.7297,60.2,100.0,34.7
11,-118.26,835.345,54.99,100.0,34.7
12,-124.66,912.2366,61.88,100.0,34.9
13,-125.8,908.4009,56.36,100.0,34.8
14,-121.96,800.4064,60.41,100.0,37.4
15,-116.25,627.9944,59.72,100.0,37.6
16,-131.33,898.0223,58.22,100.0,37.6
17,-120.59,696.8644,59.15,100.0,37.6
18,-124.86,701.7834,58.61,100.0,40.9
19,-137.43,786.5622,60.89,100.0,40.9
20,-113.4,458.3587,62.63,100.0,42.3
21,-145.9,825.5186,63.48,100.0,44.2
22,-126.71,559.6761,61.3,100.0,42.8
23,-133.83,595.0265,63.44,100.0,42.4
24,-129.72,466.4844,59.85,100.0,41.5
25,-131.45,463.5278,59.59,100.0,37.5
26,-119.51,347.2645,60.06,100.0,37.5
27,-114.46,254.6937,55.64,100.0,37.9
28,-141.67,380.6348,61.08,100.0,37.6
29,-112.44,158.0161,59.07,100.0,37.6
30,-142.87,335.1721,58.63,100.0,37.6
31,-97.58,85.1592,53.4,99.9,37.6
32,-126.14,146.8563,56.99,100.0,40.4
33,-151.15,221.8307,56.98,100.0,38.0
34,-132.66,180.1293,60.97,100.0,39.0
35,-104.56,131.531,60.69,100.0,40.9
36,-132.64,135.056,59.77,100.0,42.9
37,-136.83,198.4923,58.26,100.0,44.7
38,-107.65,143.7176,57.03,100.0,53.8
39,-127.53,142.7989,59.12,100.0,46.8
40,-130.37,156.278,62.94,100.0,53.2
41,-112.82,81.1546,62.24,100.0,85.3
42,-136.58,146.6994,64.67,100.0,40.3
43,-121.83,100.7755,55.73,100.0,59.2
44,-126.95,127.8297,60.84,100.0,81.4
