Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-238.62,1328.4381,24.49,77.7,29.7
2,-233.0,1283.3882,9.23,99.0,29.6
3,-240.0,1378.5435,26.02,95.2,29.8
4,-235.26,1343.783,35.41,96.3,29.8
5,-252.99,1426.5727,36.99,96.7,29.9
6,-244.94,1303.0539,33.13,95.5,29.8
7,-239.79,1323.6326,37.06,96.4,29.8
8,-239.19,1392.4571,17.84,92.8,29.9
9,-249.51,1501.2997,26.22,95.7,29.9
10,-228.92,1196.7934,31.3,95.9,29.9
11,-242.05,1381.1743,13.19,93.0,29.9
12,-256.96,1515.9003,24.67,99.9,29.9
13,-234.97,1283.9673,25.9,93.4,30.0
14,-251.18,1453.3125,35.72,96.9,29.9
15,-234.68,1262.7465,34.47,96.1,30.0
16,-239.05,1246.6372,34.39,96.4,30.0
17,-242.6,1314.6519,32.5,96.7,30.0
18,-226.55,1185.4918,19.68,94.7,30.0
19,-234.71,1214.6666,17.96,94.4,30.0
20,-243.73,1279.8372,14.68,89.9,30.0
21,-263.1,1441.4946,39.44,97.8,30.1
22,-257.18,1411.1112,35.03,97.2,30.1
23,-232.65,1136.6978,35.11,97.0,30.1
24,-223.33,1134.435,35.08,95.7,30.1
25,-244.8,1189.2399,40.9,97.3,30.7
26,-231.55,1118.7521,39.77,99.3,30.2
27,-231.65,1129.407,15.56,93.6,30.2
28,-231.55,1077.1773,24.38,99.9,30.2
29,-235.12,1196.9861,23.01,96.2,30.2
30,-236.69,1189.4834,15.0,92.0,30.2
31,-236.15,1086.738,5.32,74.4,30.2
32,-245.6,1202.3082,24.72,97.0,30.3
33,-253.54,1186.7556,7.33,93.0,30.2
34,-238.55,1149.5425,33.97,98.2,30.3
35,-239.38,1078.562,22.74,91.6,30.4
36,-228.32,1040.1745,6.29,87.5,30.3
37,-235.94,1039.6543,33.69,98.3,30.3
38,-246.16,1202.6522,49.93,97.0,30.8
39,-232.43,1000.3042,57.7,100.0,30.8
40,-242.23,1113.102,58.01,100.0,30.8
41,-222.58,907.3169,51.76,100.0,30.8
42,-236.1,1074.8615,55.23,100.0,30.9
43,-239.81,1054.7199,55.2,100.0,30.9
44,-234.37,917.1022,54.4,100.0,30.9
45,-223.56,911.8779,54.53,100.0,30.9
46,-240.7,922.7791,53.29,100.0,30.9
47,-229.74,925.4689,35.24,99.9,30.9
48,-244.15,938.7273,55.12,99.3,30.9
49,-249.36,968.9068,59.44,98.8,30.9
50,-247.22,867.3417,55.39,98.4,30.9
51,-229.32,785.3453,55.84,98.3,30.9
52,-240.53,886.8587,63.47,98.6,31.5
53,-227.78,760.9682,66.07,99.0,31.5
54,-229.11,793.1368,66.27,100.0,31.6
55,-234.12,810.7781,70.01,100.0,31.6
56,-231.27,720.3233,67.39,99.9,31.7
57,-233.88,750.6207,66.07,100.0,31.7
58,-241.76,682.5301,70.58,99.9,31.7
59,-235.25,783.3672,66.48,99.4,31.8
60,-228.23,637.1267,65.8,99.5,31.8
61,-238.08,737.9181,64.79,99.3,31.8
62,-241.37,829.1203,69.04,100.0,31.8
63,-242.41,710.6226,66.9,100.0,31.8
64,-236.28,625.1031,68.68,100.0,31.9
65,-230.29,591.1339,67.77,100.0,31.9
66,-241.17,648.7221,68.7,100.0,31.9
67,-223.41,520.9266,66.18,100.0,31.9
68,-232.23,549.2153,68.12,100.0,31.9
69,-233.43,545.3054,67.76,100.0,31.9
70,-207.99,359.4669,68.59,100.0,31.9
71,-236.46,574.4588,68.77,100.0,31.9
72,-232.56,476.177,67.06,100.0,32.0
73,-247.71,507.3395,68.78,100.0,32.0
74,-235.84,476.4607,68.22,100.0,31.9
75,-218.91,410.3669,66.3,100.0,31.9
76,-236.95,374.9917,69.61,100.0,31.9
77,-251.17,436.2529,71.5,100.0,32.0
78,-240.26,459.3273,65.94,100.0,32.0
79,-246.77,485.1541,67.01,100.0,32.0
80,-236.28,361.8328,69.55,100.0,32.0
81,-233.45,356.0646,66.84,100.0,32.0
82,-243.44,380.8047,68.41,100.0,32.1
83,-234.08,290.4372,63.47,100.0,32.1
