Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
64,156084447#2.35_0,0.0,0.35,0.0,771.43,771.43,2200.0,0.0
64,156084447#2.35_1,11.34,0.32,3.06,314.29,314.29,977.78,0.0
64,156084447#2.35_2,10.85,0.23,2.22,228.57,228.57,977.78,0.0
64,537517150#2_0,0.0,0.3,0.0,657.14,657.14,2200.0,0.0
64,537517150#2_1,10.91,0.44,4.19,457.14,457.14,1047.62,0.0
64,537517150#2_2,9.93,0.27,2.62,285.71,285.71,1047.62,0.0
64,156084437#2.76_0,0.0,0.14,0.0,314.29,314.29,2200.0,0.0
64,156084437#2.76_1,9.85,0.03,0.28,28.57,28.57,977.78,0.0
64,156084437#2.76_2,9.85,0.03,0.28,28.57,28.57,977.78,0.0
64,-156084515#1.105_0,0.0,0.03,0.0,57.14,57.14,2200.0,0.0
130,156084447#2.35_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
130,156084447#2.35_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
130,156084447#2.35_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
130,537517150#2_0,0.0,0.25,0.0,545.45,545.45,2200.0,0.0
130,537517150#2_1,12.36,0.37,3.64,354.55,354.55,966.67,0.0
130,537517150#2_2,11.36,0.2,1.96,190.91,190.91,966.67,0.0
130,156084437#2.76_0,0.0,0.31,0.0,681.82,681.82,2200.0,0.0
130,156084437#2.76_1,9.76,0.11,1.06,109.09,109.09,1033.33,0.0
130,156084437#2.76_2,9.89,0.13,1.33,136.36,136.36,1033.33,0.0
130,-156084515#1.105_0,0.0,0.41,0.0,900.0,900.0,2200.0,0.0
195,156084447#2.35_0,0.0,0.28,0.0,609.23,609.23,2200.0,0.0
195,156084447#2.35_1,10.1,0.03,0.28,27.69,27.69,981.54,0.0
195,156084447#2.35_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
195,537517150#2_0,0.0,0.29,0.0,636.92,636.92,2200.0,0.0
195,537517150#2_1,12.59,0.55,5.38,553.85,553.85,1015.38,0.0
195,537517150#2_2,10.48,0.22,2.15,221.54,221.54,1015.38,0.0
195,156084437#2.76_0,0.0,0.33,0.0,720.0,720.0,2200.0,0.0
195,156084437#2.76_1,11.4,0.28,2.77,276.92,276.92,981.54,0.0
195,156084437#2.76_2,11.4,0.28,2.77,276.92,276.92,981.54,0.0
195,-156084515#1.105_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
261,156084447#2.35_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
261,156084447#2.35_1,10.16,0.18,1.86,190.91,190.91,1033.33,0.0
261,156084447#2.35_2,10.16,0.18,1.86,190.91,190.91,1033.33,0.0
261,537517150#2_0,0.0,0.24,0.0,518.18,518.18,2200.0,0.0
261,537517150#2_1,12.74,0.42,4.2,409.09,409.09,966.67,0.0
261,537517150#2_2,12.55,0.39,3.92,381.82,381.82,966.67,0.0
261,156084437#2.76_0,0.0,0.2,0.0,436.36,436.36,2200.0,0.0
261,156084437#2.76_1,10.03,0.16,1.59,163.64,163.64,1033.33,0.0
261,156084437#2.76_2,10.9,0.32,3.18,327.27,327.27,1033.33,0.0
261,-156084515#1.105_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
326,156084447#2.35_0,0.0,0.19,0.0,415.38,415.38,2200.0,0.0
326,156084447#2.35_1,10.78,0.17,1.66,166.15,166.15,981.54,0.0
326,156084447#2.35_2,11.4,0.28,2.77,276.92,276.92,981.54,0.0
326,537517150#2_0,0.0,0.3,0.0,664.62,664.62,2200.0,0.0
326,537517150#2_1,13.55,0.59,5.82,581.54,581.54,981.54,0.0
326,537517150#2_2,13.32,0.56,5.54,553.85,553.85,981.54,0.0
326,156084437#2.76_0,0.0,0.24,0.0,526.15,526.15,2200.0,0.0
326,156084437#2.76_1,11.24,0.25,2.49,249.23,249.23,981.54,0.0
326,156084437#2.76_2,11.4,0.28,2.77,276.92,276.92,981.54,0.0
326,-156084515#1.105_0,0.0,0.28,0.0,609.23,609.23,2200.0,0.0
392,156084447#2.35_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
392,156084447#2.35_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
392,156084447#2.35_2,9.64,0.08,0.8,81.82,81.82,1033.33,0.0
392,537517150#2_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
392,537517150#2_1,12.06,0.41,4.09,409.09,409.09,1000.0,0.0
392,537517150#2_2,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
392,156084437#2.76_0,0.0,0.3,0.0,654.55,654.55,2200.0,0.0
392,156084437#2.76_1,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
392,156084437#2.76_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
392,-156084515#1.105_0,0.0,0.25,0.0,545.45,545.45,2200.0,0.0
458,156084447#2.35_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
458,156084447#2.35_1,11.88,0.38,3.82,381.82,381.82,1000.0,0.0
458,156084447#2.35_2,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
458,537517150#2_0,0.0,0.33,0.0,736.36,736.36,2200.0,0.0
458,537517150#2_1,17.21,0.71,7.59,681.82,681.82,966.67,0.59
458,537517150#2_2,12.36,0.37,3.64,354.55,354.55,966.67,0.0
458,156084437#2.76_0,0.0,0.21,0.0,463.64,463.64,2200.0,0.0
458,156084437#2.76_1,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
458,156084437#2.76_2,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
458,-156084515#1.105_0,0.0,0.21,0.0,463.64,463.64,2200.0,0.0
523,156084447#2.35_0,0.0,0.11,0.0,249.23,249.23,2200.0,0.0
523,156084447#2.35_1,10.64,0.14,1.38,138.46,138.46,981.54,0.0
523,156084447#2.35_2,11.74,0.34,3.32,332.31,332.31,981.54,0.0
523,537517150#2_0,0.0,0.11,0.0,249.23,249.23,2200.0,0.0
523,537517150#2_1,9.95,0.11,1.12,83.08,115.49,1015.38,0.0
523,537517150#2_2,9.79,0.08,0.81,83.08,83.08,1015.38,0.0
523,156084437#2.76_0,0.0,0.33,0.0,720.0,720.0,2200.0,0.0
523,156084437#2.76_1,11.24,0.25,2.49,249.23,249.23,981.54,0.0
523,156084437#2.76_2,10.78,0.17,1.66,166.15,166.15,981.54,0.0
523,-156084515#1.105_0,0.0,0.25,0.0,553.85,553.85,2200.0,0.0
